epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,56103.8,0.46893,0.52345,0.82963,0.94949,0.41017,0.55348,0.48292,0.60595,0.63035,0.83123,5.89e-05,5.89e-05,5.89e-05
138,57909.6,0.45857,0.49724,0.82099,0.94623,0.2998,0.47257,0.41115,0.61637,0.63201,0.83318,5.47375e-05,5.47375e-05,5.47375e-05
139,59766.9,0.45288,0.49898,0.82404,0.97397,0.37591,0.53728,0.46305,0.62663,0.64528,0.83541,5.0575e-05,5.0575e-05,5.0575e-05
140,61706,0.45937,0.49845,0.82995,0.94188,0.34391,0.50983,0.44643,0.6045,0.63693,0.8311,4.64125e-05,4.64125e-05,4.64125e-05
141,63282.9,0.39347,0.3961,0.80709,0.96274,0.20059,0.41671,0.36787,0.60717,0.64173,0.83228,4.225e-05,4.225e-05,4.225e-05
142,65155.8,0.39033,0.39467,0.79816,0.94559,0.47336,0.59946,0.5157,0.62578,0.65665,0.83608,3.80875e-05,3.80875e-05,3.80875e-05
143,66178.4,0.38768,0.38972,0.80432,0.97288,0.34032,0.50459,0.439,0.61494,0.65646,0.83359,3.3925e-05,3.3925e-05,3.3925e-05
144,66706,0.3874,0.38668,0.79476,0.97157,0.54056,0.65635,0.56482,0.62114,0.65842,0.83441,2.97625e-05,2.97625e-05,2.97625e-05
145,68005.5,0.38461,0.38711,0.79853,0.97204,0.37662,0.53173,0.45856,0.62327,0.65553,0.83518,2.56e-05,2.56e-05,2.56e-05
146,69579.6,0.3841,0.38608,0.7992,0.95716,0.89546,0.95507,0.82098,0.62221,0.65195,0.83474,2.14375e-05,2.14375e-05,2.14375e-05
147,71047.8,0.39215,0.39074,0.80224,0.97212,0.3759,0.53333,0.46314,0.61831,0.64922,0.83383,1.7275e-05,1.7275e-05,1.7275e-05
148,71819.7,0.37789,0.38204,0.79392,0.97086,0.3593,0.52039,0.45271,0.61968,0.64942,0.83421,1.31125e-05,1.31125e-05,1.31125e-05
149,73869.1,0.37461,0.38078,0.80274,0.95307,0.89168,0.93338,0.80624,0.62091,0.64853,0.83437,8.95e-06,8.95e-06,8.95e-06
150,74845.2,0.3748,0.37922,0.79284,0.97244,0.37595,0.53509,0.46425,0.62258,0.64837,0.83457,4.7875e-06,4.7875e-06,4.7875e-06
